Taxon,Total length,No of charsets,atpB_final_alignment.fasta,matK_final_alignment.fasta,ndhF_final_alignment.fasta,rbcL_final_alignment.fasta,
Apocynaceae Hemipogon hatschbachii,2412 bp,1,(No data),2412 (1495 indels),(No data),(No data),
Apocynaceae Hemipogon hemipogonoides,2328 bp,1,(No data),2328 (1477 indels),(No data),(No data),
Apocynaceae Hemipogon luteus,2378 bp,1,(No data),2378 (1491 indels),(No data),(No data),
Apocynaceae Himatanthus bracteatus,5614 bp,1,(No data),5614 (3871 indels),(No data),(No data),
Apocynaceae Lacmellea aculeata,2672 bp,2,(No data),1946 (1231 indels),(No data),726 (29 indels),
Apocynaceae Landolphia comp. OUTSIDE,2754 bp,2,(No data),2194 (1431 indels),(No data),"560 (21 'N', 27 indels)",
Apocynaceae Laxoplumeria baehniana,3919 bp,1,(No data),3919 (2411 indels),(No data),(No data),
Apocynaceae Macoubea guianensis,5494 bp,2,(No data),3919 (2399 indels),(No data),1575 (252 indels),
Apocynaceae Macropharynx comp. OUTSIDE,3575 bp,2,(No data),2994 (1928 indels),(No data),581 (29 indels),
Apocynaceae Peltastes macrocalyx,5332 bp,1,(No data),5332 (3575 indels),(No data),(No data),
Apocynaceae Peltastes pulcher,5332 bp,1,(No data),5332 (3575 indels),(No data),(No data),
Apocynaceae Malouetia comp. OUTSIDE,5131 bp,2,(No data),3556 (2416 indels),(No data),1575 (252 indels),
Apocynaceae Mandevilla atroviolacea,4305 bp,1,(No data),4305 (2904 indels),(No data),(No data),
Apocynaceae Mandevilla coccinea,3949 bp,1,(No data),3949 (2409 indels),(No data),(No data),
Apocynaceae Mandevilla duartei,3949 bp,1,(No data),3949 (2421 indels),(No data),(No data),
Apocynaceae Mandevilla emarginata,2966 bp,2,(No data),2222 (1426 indels),(No data),744 (25 indels),
Apocynaceae Mandevilla funiformis,3949 bp,1,(No data),"3949 (1 'N', 2424 indels)",(No data),(No data),
Apocynaceae Mandevilla harleyi,3949 bp,1,(No data),"3949 (1 'N', 2424 indels)",(No data),(No data),
Apocynaceae Mandevilla hirsuta,4530 bp,2,(No data),"3949 (3 'N', 2430 indels)",(No data),581 (29 indels),
Apocynaceae Mandevilla illustris,3949 bp,1,(No data),"3949 (1 'N', 2409 indels)",(No data),(No data),
Apocynaceae Mandevilla leptophylla,1814 bp,1,(No data),"1814 (1 'N', 1186 indels)",(No data),(No data),
Apocynaceae Mandevilla longiflora,5124 bp,1,(No data),5124 (3444 indels),(No data),(No data),
Apocynaceae Mandevilla martiana,3949 bp,1,(No data),3949 (2409 indels),(No data),(No data),
Apocynaceae Mandevilla martii,3949 bp,1,(No data),3949 (2430 indels),(No data),(No data),
Apocynaceae Mandevilla moricandiana,3949 bp,1,(No data),"3949 (1 'N', 2409 indels)",(No data),(No data),
Apocynaceae Mandevilla pendula,3949 bp,1,(No data),3949 (2409 indels),(No data),(No data),
Apocynaceae Mandevilla pentlandiana,3949 bp,1,(No data),3949 (2421 indels),(No data),(No data),
Apocynaceae Mandevilla pohliana,3949 bp,1,(No data),3949 (2409 indels),(No data),(No data),
Apocynaceae Mandevilla pycnantha,3949 bp,1,(No data),"3949 (1 'N', 2409 indels)",(No data),(No data),
Apocynaceae Mandevilla rugosa,3949 bp,1,(No data),3949 (2430 indels),(No data),(No data),
Apocynaceae Mandevilla sancta,3949 bp,1,(No data),3949 (2409 indels),(No data),(No data),
Apocynaceae Mandevilla scabra,3949 bp,1,(No data),"3949 (2 'N', 2460 indels)",(No data),(No data),
Apocynaceae Mandevilla sellowii,3949 bp,1,(No data),3949 (2409 indels),(No data),(No data),
Apocynaceae Mandevilla spigeliiflora,3949 bp,1,(No data),"3949 (1 'N', 2421 indels)",(No data),(No data),
Apocynaceae Mandevilla splendens,3949 bp,1,(No data),3949 (2421 indels),(No data),(No data),
Apocynaceae Mandevilla tenuifolia,3949 bp,1,(No data),"3949 (1 'N', 2409 indels)",(No data),(No data),
Apocynaceae Mandevilla velame,3949 bp,1,(No data),"3949 (1 'N', 2430 indels)",(No data),(No data),
Apocynaceae Mandevilla venulosa,3949 bp,1,(No data),"3949 (1 'N', 2430 indels)",(No data),(No data),
Apocynaceae Marsdenia carvalhoi,1681 bp,1,(No data),(No data),(No data),1681 (298 indels),
Apocynaceae Matelea denticulata,2523 bp,2,(No data),1942 (1226 indels),(No data),581 (29 indels),
Apocynaceae Mesechites mansoanus,3949 bp,1,(No data),3949 (2430 indels),(No data),(No data),
Apocynaceae Mesechites trifidus,7110 bp,2,(No data),5297 (3558 indels),(No data),"1813 (5 'N', 378 indels)",
Apocynaceae Metastelma giuliettianum,2021 bp,1,(No data),2021 (1266 indels),(No data),(No data),
Apocynaceae Metastelma harleyi,2378 bp,1,(No data),2378 (1486 indels),(No data),(No data),
